typeGPU,nbrGPU,model_name,training_dist,stage,batch_size,valid_batch_size,seq_length,nb_layer_freezed,epoch_duration,train_tokens_s,val_tokens_s,maxMemAlloc,maxMemRes,mean_loss,perplexity
NVIDIA A100-SXM4-80GB,2,meta-llama/Llama-2-7b-hf,deepspeed,3,1,4,1024,0,188.54789900779724,972.3333349225841,2101.8893766065403,66.91,77.86,0.789839506149292,1.9222224950790405
NVIDIA A100-SXM4-80GB,2,meta-llama/Llama-2-7b-hf,fsdp,1,1,4,1024,0,48.15846490859985,5934.6346978610945,5405.1493298089135,33.79,53.79,0.9263851642608643,2.0417399406433105
NVIDIA A100-SXM4-80GB,4,meta-llama/Llama-2-7b-hf,fsdp,1,1,4,1024,0,47.76629114151001,11518.620900285101,9566.19401620147,24.29,41.64,0.8856531381607056,1.9413976669311523
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-7b-hf,deepspeed,2,1,4,1024,0,52.816832304000854,13702.516597199909,33851.883169813795,36.22,51.54,0.71074378490448,1.751887321472168
NVIDIA A100-SXM4-80GB,4,meta-llama/Llama-2-7b-hf,deepspeed,2,1,4,1024,0,61.29002404212952,5832.958992587211,20047.463110346816,50.91,69.25,0.7532894611358643,1.8113147020339966
NVIDIA A100-SXM4-80GB,4,meta-llama/Llama-2-7b-hf,deepspeed,3,1,4,1024,0,83.3044707775116,5328.527427342929,4195.348807306086,41.8,68.18,0.7456547021865845,1.8098801374435425
NVIDIA A100-SXM4-80GB,4,meta-llama/Llama-2-7b-hf,fsdp,1,2,4,1024,0,70.04714107513428,14187.75037812542,19832.901862216233,38.26,53.56,0.8441603779792786,1.889266014099121
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-7b-hf,deepspeed,2,2,4,1024,0,76.67450070381165,18755.852783863014,50711.48853426778,50.44,66.04,0.6710797548294067,1.701880693435669
NVIDIA A100-SXM4-80GB,4,meta-llama/Llama-2-7b-hf,fsdp,1,4,4,1024,0,200.93908977508545,7716.013536254417,27623.77531511977,66.16,78.08,0.8100677132606506,1.8553014993667603
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-7b-hf,fsdp,1,1,4,1024,0,47.95397210121155,22509.61826279244,17085.681121784004,19.58,33.48,0.8426190614700317,1.8890693187713623
NVIDIA A100-SXM4-80GB,8,meta-llama/Llama-2-7b-hf,fsdp,1,2,4,1024,0,70.73319411277771,27997.681331060976,32950.44105137786,33.56,47.26,0.8096711039543152,1.8550344705581665
